total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
143,3.4525853014610854,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,11.001131,13.0,0.21810330300000003,0.21789312362670898,220.6613893508911,199.73858094215393
144,3.1706135161370352,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,11.376802,14.1,0.22969271400000002,0.22951579093933105,221.262277841568,201.2279052734375
145,3.1216702195628256,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,11.121493,12.6,0.228349096,0.22814631462097168,221.66153264045715,202.66477394104004
146,3.039957133360294,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,12.130889,12.8,0.24577174499999999,0.24556446075439453,221.8939917087555,203.9047977924347
147,2.788652299221915,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.402925,12.4,0.23336985999999998,0.23315882682800293,222.2673635482788,205.13354420661926
148,2.802676242186701,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,10.395786,12.4,0.213328672,0.21314430236816406,222.58682203292847,206.33862709999084
149,2.731874290237662,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,12.039764,11.8,0.245745476,0.24555373191833496,222.86202430725098,207.55391001701355
150,3.1114017692228546,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,11.085849,12.7,0.237642442,0.23743319511413574,223.30713152885437,208.91185975074768
151,3.0955112330485197,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,11.998565,12.6,0.241041,0.2408592700958252,223.83095979690552,210.4461271762848
152,2.951787725055968,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,11.59427,13.3,0.237257399,0.237046480178833,223.99088263511658,211.7131049633026
153,3.1792548614189164,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,11.576265,12.7,0.242812005,0.24260663986206055,224.32375264167786,212.92976903915405
154,3.123410073288506,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.340425,12.2,0.232496076,0.23229598999023438,224.62581372261047,214.16190600395203
155,2.890909986174946,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,10.780795,12.7,0.214475215,0.21429753303527832,224.93588423728943,215.3718535900116
156,2.9462442062801313,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,10.717257,12.6,0.223067268,0.22288227081298828,225.2400848865509,216.5537576675415
157,2.9445007897361326,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,11.397127,12.5,0.229677851,0.22949481010437012,225.73920822143555,217.97307324409485
158,3.0000667435325066,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,11.829437,12.5,0.24116852,0.24095869064331055,225.9787838459015,219.2317271232605
159,2.988318427524845,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.53238,13.0,0.232616434,0.2323763370513916,226.27423000335693,220.4462070465088
160,2.9114904409096107,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,11.698029,13.2,0.235391824,0.23520636558532715,226.8294289112091,221.88799953460693
161,2.8814666566316682,100,12456.22,yolov5l,4.568897902965546,0.7614829838275909,6,12.029388,12.8,0.24583476399999998,0.24565529823303223,227.24792289733887,223.39036107063293
162,2.7368926151105075,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,12.697539,12.5,0.259430946,0.25922226905822754,227.59832644462585,224.8176624774933
